invoice,customer_id,invoice_date,country,is_cancelled
489434,13085,2009-12-01 07:45:00,United Kingdom,False
489435,13085,2009-12-01 07:46:00,United Kingdom,False
489436,13078,2009-12-01 09:06:00,United Kingdom,False
489437,15362,2009-12-01 09:08:00,United Kingdom,False
489438,18102,2009-12-01 09:24:00,United Kingdom,False
489439,12682,2009-12-01 09:28:00,France,False
489440,18087,2009-12-01 09:43:00,United Kingdom,False
489441,18087,2009-12-01 09:44:00,United Kingdom,False
489442,13635,2009-12-01 09:46:00,United Kingdom,False
489443,14110,2009-12-01 09:50:00,United Kingdom,False
489444,12636,2009-12-01 09:55:00,USA,False
489445,17519,2009-12-01 09:57:00,United Kingdom,False
489446,13758,2009-12-01 10:06:00,United Kingdom,False
489447,12362,2009-12-01 10:10:00,Belgium,False
489448,15413,2009-12-01 10:18:00,United Kingdom,False
489450,16321,2009-12-01 10:36:00,Australia,False
489460,16167,2009-12-01 10:46:00,United Kingdom,False
489461,17865,2009-12-01 10:49:00,United Kingdom,False
489462,17592,2009-12-01 10:49:00,United Kingdom,False
489463,,2009-12-01 10:52:00,United Kingdom,False
489464,,2009-12-01 10:52:00,United Kingdom,False
489465,13767,2009-12-01 10:52:00,United Kingdom,False
489467,,2009-12-01 10:53:00,United Kingdom,False
489488,17238,2009-12-01 10:59:00,United Kingdom,False
489505,15712,2009-12-01 11:17:00,United Kingdom,False
489514,15311,2009-12-01 11:21:00,United Kingdom,False
489517,16329,2009-12-01 11:34:00,United Kingdom,False
489519,17700,2009-12-01 11:37:00,United Kingdom,False
489520,14911,2009-12-01 11:41:00,EIRE,False
489521,,2009-12-01 11:44:00,United Kingdom,False
489522,15998,2009-12-01 11:45:00,United Kingdom,False
489523,12931,2009-12-01 11:46:00,United Kingdom,False
489525,,2009-12-01 11:49:00,United Kingdom,False
489526,12533,2009-12-01 11:50:00,Germany,False
489529,17984,2009-12-01 11:51:00,United Kingdom,False
489531,14871,2009-12-01 11:57:00,United Kingdom,False
489532,13394,2009-12-01 11:58:00,United Kingdom,False
489533,16011,2009-12-01 12:02:00,United Kingdom,False
489536,16393,2009-12-01 12:13:00,United Kingdom,False
489537,14040,2009-12-01 12:14:00,United Kingdom,False
489539,15061,2009-12-01 12:18:00,United Kingdom,False
489540,12913,2009-12-01 12:18:00,United Kingdom,False
489542,15061,2009-12-01 12:19:00,United Kingdom,False
489544,14341,2009-12-01 12:20:00,United Kingdom,False
489545,17804,2009-12-01 12:22:00,United Kingdom,False
489546,14156,2009-12-01 12:30:00,EIRE,False
489547,13599,2009-12-01 12:30:00,United Kingdom,False
489548,,2009-12-01 12:32:00,United Kingdom,False
489550,14156,2009-12-01 12:33:00,EIRE,False
489552,17063,2009-12-01 12:36:00,United Kingdom,False
489556,15719,2009-12-01 12:47:00,United Kingdom,False
489557,12490,2009-12-01 12:52:00,France,False
489558,15793,2009-12-01 12:54:00,United Kingdom,False
489559,17056,2009-12-01 12:55:00,United Kingdom,False
489560,13526,2009-12-01 12:56:00,United Kingdom,False
489561,14654,2009-12-01 12:57:00,United Kingdom,False
489562,17998,2009-12-01 13:07:00,United Kingdom,False
489564,13526,2009-12-01 13:13:00,United Kingdom,False
489566,17742,2009-12-01 13:16:00,United Kingdom,False
489567,15326,2009-12-01 13:19:00,United Kingdom,False
489569,14478,2009-12-01 13:20:00,United Kingdom,False
489571,15967,2009-12-01 13:29:00,United Kingdom,False
489572,17611,2009-12-01 13:29:00,United Kingdom,False
489573,15051,2009-12-01 13:29:00,United Kingdom,False
489574,13097,2009-12-01 13:31:00,United Kingdom,False
489575,13590,2009-12-01 13:37:00,United Kingdom,False
489576,15984,2009-12-01 13:38:00,United Kingdom,False
489579,16887,2009-12-01 13:41:00,United Kingdom,False
489580,12921,2009-12-01 13:43:00,United Kingdom,False
489581,15945,2009-12-01 13:47:00,United Kingdom,False
489582,14543,2009-12-01 13:47:00,United Kingdom,False
489584,18037,2009-12-01 13:48:00,United Kingdom,False
489585,15662,2009-12-01 13:49:00,United Kingdom,False
489586,15380,2009-12-01 13:50:00,United Kingdom,False
489590,13110,2009-12-01 14:14:00,United Kingdom,False
489593,12836,2009-12-01 14:19:00,United Kingdom,False
489594,15005,2009-12-01 14:19:00,United Kingdom,False
489596,,2009-12-01 14:27:00,United Kingdom,False
489597,,2009-12-01 14:28:00,United Kingdom,False
489598,16620,2009-12-01 14:35:00,United Kingdom,False
489599,12758,2009-12-01 14:40:00,Portugal,False
489600,,2009-12-01 14:43:00,United Kingdom,False
489601,,2009-12-01 14:44:00,United Kingdom,False
489602,,2009-12-01 14:45:00,United Kingdom,False
489603,,2009-12-01 14:46:00,United Kingdom,False
489604,,2009-12-01 14:47:00,United Kingdom,False
489606,17961,2009-12-01 14:48:00,United Kingdom,False
489607,,2009-12-01 14:49:00,United Kingdom,False
489608,,2009-12-01 14:49:00,United Kingdom,False
489609,,2009-12-01 14:50:00,United Kingdom,False
489611,15601,2009-12-01 14:53:00,United Kingdom,False
489612,,2009-12-01 14:55:00,United Kingdom,False
489613,13585,2009-12-01 14:56:00,United Kingdom,False
489614,,2009-12-01 14:56:00,United Kingdom,False
489615,,2009-12-01 14:56:00,United Kingdom,False
489616,,2009-12-01 14:58:00,United Kingdom,False
489617,13442,2009-12-01 14:59:00,United Kingdom,False
489618,,2009-12-01 14:59:00,United Kingdom,False
489619,,2009-12-01 15:02:00,United Kingdom,False
489634,13381,2009-12-01 15:19:00,United Kingdom,False
489635,16763,2009-12-01 15:26:00,United Kingdom,False
489637,17243,2009-12-01 15:36:00,United Kingdom,False
489638,,2009-12-01 15:42:00,United Kingdom,False
489639,14865,2009-12-01 16:05:00,United Kingdom,False
489640,17345,2009-12-01 16:17:00,United Kingdom,False
489641,13819,2009-12-01 16:18:00,United Kingdom,False
489642,,2009-12-01 16:19:00,United Kingdom,False
489644,15808,2009-12-01 16:30:00,United Kingdom,False
489645,17191,2009-12-01 16:34:00,United Kingdom,False
489650,13748,2009-12-01 16:44:00,United Kingdom,False
489652,15265,2009-12-01 17:08:00,United Kingdom,False
489653,,2009-12-01 17:08:00,United Kingdom,False
489654,15750,2009-12-01 17:19:00,United Kingdom,False
489655,,2009-12-01 17:26:00,United Kingdom,False
489656,17428,2009-12-01 17:28:00,United Kingdom,False
489657,17428,2009-12-01 17:28:00,United Kingdom,False
489658,15485,2009-12-01 17:31:00,United Kingdom,False
489659,,2009-12-01 17:39:00,United Kingdom,False
489660,,2009-12-01 17:43:00,United Kingdom,False
489661,17246,2009-12-01 17:45:00,United Kingdom,False
489662,15485,2009-12-01 17:50:00,United Kingdom,False
